user,total_logons,unique_pcs,first_seen,last_seen,active_days,offhour_logons,weekend_logons
AAE0190,692,1,2010-01-04 08:09:00,2011-05-16 18:10:00,346,346,0
AAF0535,328,1,2010-01-04 08:56:00,2010-08-24 16:54:00,164,0,0
AAF0791,692,1,2010-01-04 08:06:00,2011-05-16 17:14:00,346,0,0
AAL0706,692,1,2010-01-04 07:38:00,2011-05-16 16:59:00,346,346,0
AAM0658,458,1,2010-01-04 09:14:00,2010-11-17 21:15:00,225,234,2
AAN0823,692,1,2010-01-04 08:19:00,2011-05-16 19:21:00,346,346,0
AAS0442,136,1,2010-01-04 07:46:00,2010-03-12 17:15:00,50,22,0
AAV0450,692,1,2010-01-04 07:49:00,2011-05-16 18:09:00,346,345,0
AAW0353,692,1,2010-01-04 07:57:00,2011-05-16 18:04:00,346,397,0
ABC0174,829,1,2010-01-02 07:37:00,2010-12-24 15:55:00,296,296,126
ABC0253,963,1,2010-01-04 07:34:00,2011-05-16 16:38:00,346,346,0
ABH0663,692,1,2010-01-04 07:32:00,2011-05-16 16:46:00,346,346,0
ABM0845,1002,2,2010-01-04 08:21:00,2011-05-16 19:30:00,346,349,0
ABN0239,959,1,2010-01-04 07:49:00,2011-05-16 17:59:00,346,366,0
ACC0042,2724,618,2010-01-04 02:52:25,2011-05-16 21:39:17,346,2091,0
ACV0812,1279,2,2010-01-04 08:21:00,2011-05-16 20:42:00,354,627,13
ADC0391,968,1,2010-01-04 07:50:00,2011-05-16 19:12:00,346,508,0
ADD0846,692,1,2010-01-04 08:19:00,2011-05-16 19:32:00,346,346,0
ADF0397,692,1,2010-01-04 07:52:00,2011-05-16 19:14:00,346,511,0
AES0827,692,1,2010-01-04 08:16:00,2011-05-16 19:32:00,346,346,0
AGB0186,692,1,2010-01-04 07:05:00,2011-05-16 18:11:00,346,692,0
AGB0643,692,1,2010-01-04 09:04:00,2011-05-16 21:14:00,346,346,0
AHC0142,1197,3,2010-01-02 07:13:00,2011-05-16 17:25:00,386,394,100
AHD0848,1162,22,2010-01-04 08:24:00,2011-05-16 19:29:00,382,411,87
AHG0634,465,2,2010-01-04 09:00:00,2010-08-16 21:13:00,158,164,0
AHM0410,1183,3,2010-01-04 07:52:00,2011-05-16 17:59:00,353,414,9
AIB0948,1207,34,2010-01-04 07:13:00,2011-05-16 16:15:00,346,460,0
AIH0675,692,1,2010-01-04 07:53:00,2011-05-16 15:59:00,346,162,0
AIM0627,692,1,2010-01-04 07:47:00,2011-05-16 17:15:00,346,150,0
AIP0394,1025,1,2010-01-04 07:55:00,2011-05-16 19:00:00,351,588,8
AIP0982,1000,2,2010-01-04 07:34:00,2011-05-16 17:37:00,346,357,0
AIS0405,692,1,2010-01-04 07:47:00,2011-05-16 18:58:00,346,510,0
AJC0840,692,1,2010-01-04 08:23:00,2011-05-16 19:25:00,346,346,0
AJD0074,1202,2,2010-01-04 06:45:00,2011-05-16 16:04:00,387,422,118
AJF0370,3267,661,2010-01-04 06:11:41,2011-05-16 20:46:36,373,1889,142
AJH0175,810,1,2010-01-04 07:44:00,2011-05-16 16:00:00,353,458,7
AJL0462,1034,1,2010-01-04 07:48:00,2011-05-16 17:50:00,350,423,6
AJN0607,1177,2,2010-01-04 07:51:00,2011-05-16 16:57:00,346,171,0
AJP0723,692,1,2010-01-04 07:35:00,2011-05-16 16:59:00,346,346,0
AJR0319,1258,1,2010-01-02 07:37:00,2011-05-16 15:45:00,446,446,279
AJR0932,398,1,2010-01-04 07:15:00,2010-10-07 16:16:00,196,203,1
AKC0924,692,1,2010-01-04 08:22:00,2011-05-16 19:28:00,346,346,0
AKF0709,692,1,2010-01-04 07:31:00,2011-05-16 16:43:00,346,346,0
AKH0758,692,1,2010-01-04 08:22:00,2011-05-16 16:28:00,346,0,0
AKK0329,692,1,2010-01-04 07:08:00,2011-05-16 18:05:00,346,692,0
AKR0057,662,13,2010-01-04 07:57:00,2010-11-30 18:57:00,231,365,0
AKW0167,692,1,2010-01-04 07:44:00,2011-05-16 15:45:00,346,346,0
ALB0892,470,1,2010-01-02 09:09:00,2010-09-10 18:23:00,235,235,116
ALC0788,692,1,2010-01-04 08:21:00,2011-05-16 19:43:00,346,346,0
ALD0529,968,1,2010-01-04 08:57:00,2011-05-16 16:52:00,346,0,0
ALD0544,692,1,2010-01-04 07:55:00,2011-05-16 18:10:00,346,353,0
ALH0402,692,1,2010-01-04 07:49:00,2011-05-16 18:57:00,346,500,0
AMD0077,692,1,2010-01-04 07:26:00,2011-05-16 15:32:00,346,346,0
AMH0464,692,1,2010-01-04 07:55:00,2011-05-16 17:55:00,346,344,0
AMH0794,692,1,2010-01-04 08:03:00,2011-05-16 17:12:00,346,0,0
AMJ0297,692,1,2010-01-04 08:47:00,2011-05-16 17:59:00,346,213,0
AMM0014,692,1,2010-01-04 07:31:00,2011-05-16 18:51:00,346,692,0
AMR0318,1013,1,2010-01-04 07:43:00,2011-05-16 15:45:00,349,393,5
AMR0400,692,1,2010-01-04 07:49:00,2011-05-16 19:00:00,346,503,0
AMV0036,692,1,2010-01-04 07:32:00,2011-05-16 15:45:00,346,346,0
AMW0392,1254,1,2010-01-02 07:58:00,2011-05-16 19:14:00,450,661,275
ANM0123,82,2,2010-01-04 08:15:00,2010-02-05 19:13:00,25,30,0
ANP0555,692,1,2010-01-04 07:50:00,2011-05-16 18:02:00,346,351,0
ANT0430,1022,3,2010-01-04 07:58:00,2011-05-16 16:50:00,346,157,0
AOB0019,692,1,2010-01-04 07:51:00,2011-05-16 17:54:00,346,346,0
AOK0844,1186,15,2010-01-02 08:20:00,2011-01-23 19:38:00,383,447,331
AOS0987,1149,3,2010-01-04 09:06:00,2011-05-16 18:24:00,346,371,0
APG0307,692,1,2010-01-04 09:00:00,2011-05-16 18:03:00,346,203,0
AQD0820,692,1,2010-01-04 08:29:00,2011-05-16 20:29:00,346,346,0
ARA0252,963,1,2010-01-04 07:59:00,2011-05-16 16:58:00,346,161,0
ARB0834,422,1,2010-01-04 08:16:00,2010-10-29 19:41:00,211,211,0
ARB0881,692,1,2010-01-04 09:11:00,2011-05-16 18:23:00,346,346,0
ARD0509,724,3,2010-01-04 08:53:00,2011-05-16 16:56:00,346,0,0
ARL0034,692,1,2010-01-04 07:43:00,2011-05-16 15:41:00,346,346,0
ASB0796,530,1,2010-01-04 08:05:00,2011-01-20 17:14:00,265,0,0
ASD0577,692,1,2010-01-04 08:20:00,2011-05-16 18:29:00,346,346,0
ASG0048,692,1,2010-01-04 07:50:00,2011-05-16 17:03:00,346,163,0
ASG0692,692,1,2010-01-04 08:51:00,2011-05-16 19:06:00,346,346,0
ASL0378,966,1,2010-01-04 07:45:00,2011-05-16 16:00:00,346,158,0
ASM0575,967,1,2010-01-04 08:23:00,2011-05-16 18:45:00,346,346,0
ASS0206,692,1,2010-01-04 07:41:00,2011-05-16 15:57:00,346,346,0
ASS0517,961,1,2010-01-04 08:45:00,2011-05-16 16:57:00,346,0,0
ASV0946,956,1,2010-01-04 07:12:00,2011-05-16 16:25:00,346,346,0
ATE0869,1427,4,2010-01-02 07:33:00,2011-05-16 17:53:00,486,521,391
ATF0274,692,1,2010-01-04 07:14:00,2011-05-16 17:15:00,346,346,0
ATP0662,1245,2,2010-01-04 08:51:00,2011-05-16 19:00:00,386,533,84
AVM0947,750,30,2010-01-04 07:00:00,2011-05-16 16:19:00,346,385,0
AWM0764,692,1,2010-01-04 08:23:00,2011-05-16 16:33:00,346,0,0
BAH0875,930,3,2010-01-04 07:38:00,2011-05-16 17:44:00,356,540,14
BAJ0654,776,42,2010-01-04 09:15:00,2011-05-16 21:12:00,346,415,0
BAK0964,692,1,2010-01-04 07:02:00,2011-05-16 16:30:00,346,346,0
BAL0044,3146,628,2010-01-04 05:06:15,2011-05-16 18:43:08,348,2181,4
BAM0611,957,1,2010-01-04 07:47:00,2011-05-16 16:55:00,346,161,0
BAM0636,692,1,2010-01-04 09:14:00,2011-05-16 21:23:00,346,346,0
BBG0325,1011,2,2010-01-04 07:32:00,2011-05-16 15:45:00,346,354,0
BBH0810,692,1,2010-01-04 08:26:00,2011-05-16 20:22:00,346,346,0
BBS0039,1326,385,2010-01-04 07:15:00,2010-08-13 21:30:41,157,1040,0
BBS0422,996,3,2010-01-04 07:47:00,2011-05-16 18:10:00,412,587,139
BCB0679,938,3,2010-01-04 07:50:00,2011-02-11 16:08:00,281,134,0
BCM0653,692,1,2010-01-04 09:04:00,2011-05-16 21:27:00,346,346,0
BCR0581,1110,3,2010-01-04 08:20:00,2011-05-16 18:30:00,346,396,0
BDB0453,800,1,2010-01-04 07:48:00,2011-05-16 17:59:00,349,489,3
BDI0533,1378,2,2010-01-02 09:00:00,2011-05-16 17:03:00,451,0,305
BDV0168,340,1,2010-01-04 07:44:00,2010-08-25 15:40:00,165,175,0
BEC0505,692,1,2010-01-04 08:07:00,2011-05-16 17:12:00,346,0,0
BEH0615,1096,22,2010-01-04 07:46:00,2011-05-16 17:00:00,353,181,4
BER0314,692,1,2010-01-04 07:40:00,2011-05-16 15:46:00,346,346,0
BHC0665,926,3,2010-01-04 08:25:00,2011-05-16 16:22:00,346,0,0
BHW0458,692,1,2010-01-04 07:48:00,2011-05-16 17:57:00,346,363,0
BIH0745,296,1,2010-01-04 07:56:00,2010-07-27 17:00:00,144,73,0
BIS0247,1056,1,2010-01-04 07:58:00,2011-05-16 16:51:00,354,255,14
BJH0354,692,1,2010-01-04 08:13:00,2011-05-16 17:16:00,346,0,0
BJH0811,692,1,2010-01-04 08:29:00,2011-05-16 20:33:00,346,346,0
BJM0111,884,1,2010-01-04 09:06:00,2011-05-17 06:43:35,385,500,68
BJP0134,966,6,2010-01-04 08:55:00,2011-05-16 18:01:00,346,184,0
BJW0619,692,1,2010-01-04 07:49:00,2011-05-16 17:00:00,346,148,0
BKW0374,2716,620,2010-01-04 08:04:00,2011-05-16 22:02:50,346,1705,0
BLB0114,1109,2,2010-01-04 09:09:00,2011-05-16 18:16:00,346,355,0
BLL0929,692,1,2010-01-04 07:13:00,2011-05-16 16:27:00,346,346,0
BLS0678,571,1,2010-01-04 07:55:00,2010-10-15 16:01:00,201,101,0
BMC0547,692,1,2010-01-04 07:55:00,2011-05-16 17:55:00,346,351,0
BMG0917,1005,1,2010-01-04 08:21:00,2011-05-16 19:27:00,349,388,6
BMM0112,692,1,2010-01-04 09:08:00,2011-05-16 18:11:00,346,346,0
BMS0877,252,1,2010-01-04 07:39:00,2010-06-30 17:45:00,126,129,0
BMT0528,744,2,2010-01-04 08:53:00,2011-05-16 17:00:00,346,0,0
BNG0237,955,1,2010-01-04 07:54:00,2011-05-16 17:56:00,346,363,0
BNR0965,962,1,2010-01-04 07:05:00,2011-05-16 16:24:00,346,346,0
BQS0525,112,8,2010-01-02 08:53:00,2010-02-19 17:00:00,49,0,32
BRB0355,1552,3,2010-01-02 08:54:00,2011-05-16 16:54:00,455,0,346
BRM0995,1015,4,2010-01-04 09:10:00,2011-05-16 21:17:00,346,390,0
BRS0734,220,1,2010-01-02 07:49:00,2010-05-12 17:00:00,110,57,34
BSA0431,692,1,2010-01-04 07:54:00,2011-05-16 16:59:00,346,161,0
BSB0990,692,1,2010-01-04 07:06:00,2011-05-16 15:15:00,346,346,0
BSH0445,692,1,2010-01-04 07:59:00,2011-05-16 17:04:00,346,166,0
BSS0369,1924,504,2010-01-03 00:56:15,2010-10-04 04:18:44,239,1134,360
BSS0463,728,2,2010-01-04 07:57:00,2011-05-16 17:57:00,346,379,0
BTL0226,647,20,2010-01-04 07:48:00,2010-11-02 19:10:00,213,336,0
BTL0722,692,1,2010-01-04 07:44:00,2011-05-16 16:45:00,346,346,0
BTN0061,1132,17,2010-01-04 07:56:00,2011-05-16 19:00:00,346,598,0
BTR0403,1114,21,2010-01-04 07:59:00,2011-05-16 19:00:00,346,611,0
BTS0011,692,1,2010-01-04 07:19:00,2011-05-16 15:30:00,346,346,0
BTW0005,932,2,2010-01-04 07:24:00,2011-05-16 16:37:00,346,360,0
BVC0790,1585,3,2010-01-03 09:01:00,2011-05-16 18:21:00,438,544,320
BVN0514,236,2,2010-01-04 08:48:00,2010-06-08 16:57:00,110,0,0
BWH0813,692,1,2010-01-04 08:15:00,2011-05-16 20:30:00,346,346,0
BWP0202,1335,2,2010-01-04 07:14:00,2011-05-16 17:15:00,355,507,16
BXJ0010,692,1,2010-01-04 07:57:00,2011-05-16 17:51:00,346,330,0
BYP0070,476,1,2010-01-04 07:48:00,2010-12-09 18:08:00,238,243,0
CAA0612,959,1,2010-01-04 07:55:00,2011-05-16 16:59:00,346,155,0
CAB0388,956,1,2010-01-04 08:00:00,2011-05-16 15:59:00,346,165,0
CAB0614,1112,15,2010-01-04 07:53:00,2011-05-16 16:57:00,346,166,0
CAC0889,120,1,2010-01-04 09:06:00,2010-03-26 18:15:00,60,60,0
CAH0936,567,19,2010-01-04 07:02:00,2010-09-03 16:10:00,172,216,0
CAM0102,692,1,2010-01-04 07:13:00,2011-05-16 17:15:00,346,346,0
CAM0681,959,1,2010-01-04 08:48:00,2011-05-16 19:01:00,346,346,0
CAN0842,692,1,2010-01-04 08:20:00,2011-05-16 19:27:00,346,346,0
CAS0507,1201,3,2010-01-04 08:58:00,2011-05-16 17:02:00,347,19,1
CBB0365,3256,634,2010-01-04 00:58:37,2011-05-16 22:15:16,346,1818,0
CBG0398,692,1,2010-01-04 07:48:00,2011-05-16 18:50:00,346,518,0
CBG0490,692,1,2010-01-04 08:12:00,2011-05-16 17:08:00,346,0,0
CCA0046,1608,447,2010-01-04 05:57:35,2010-10-15 22:52:13,201,1222,0
CCC0393,692,1,2010-01-04 07:48:00,2011-05-16 18:52:00,346,512,0
CCH0182,692,1,2010-01-04 07:15:00,2011-05-16 18:13:00,346,692,0
CCH0685,1007,2,2010-01-04 08:54:00,2011-05-16 18:56:00,346,348,0
CCL0068,576,1,2010-01-04 07:50:00,2011-02-22 17:49:00,288,294,0
CCM0136,997,2,2010-01-04 08:50:00,2011-05-16 17:58:00,346,191,0
CCM0467,692,1,2010-01-04 07:50:00,2011-05-16 17:57:00,346,357,0
CCM0855,692,1,2010-01-04 07:36:00,2011-05-16 17:44:00,346,358,0
CCR0863,692,1,2010-01-04 07:40:00,2011-05-16 17:44:00,346,354,0
CCW0031,692,1,2010-01-04 07:38:00,2011-05-16 15:56:00,346,346,0
CCW0524,692,1,2010-01-04 08:45:00,2011-05-16 17:06:00,346,0,0
CEB0210,692,1,2010-01-04 07:42:00,2011-05-16 15:40:00,346,346,0
CEJ0109,636,1,2010-01-04 09:06:00,2011-04-05 18:28:00,318,318,0
CEL0561,961,1,2010-01-04 08:50:00,2011-05-16 18:00:00,346,210,0
CFG0959,874,2,2010-01-04 07:14:00,2011-05-16 16:15:00,346,372,0
CFM0767,1096,7,2010-01-04 08:16:00,2011-05-16 16:28:00,350,86,4
CFW0264,120,1,2010-01-04 07:18:00,2010-03-26 15:24:00,60,60,0
CGA0629,692,1,2010-01-04 07:49:00,2011-05-16 17:06:00,346,163,0
CGB0637,956,1,2010-01-04 09:06:00,2011-05-16 21:30:00,346,346,0
CGF0337,692,1,2010-01-04 07:14:00,2011-05-16 18:15:00,346,692,0
CHG0146,692,1,2010-01-04 08:18:00,2011-05-16 16:24:00,346,0,0
CHM0821,1221,3,2010-01-04 08:20:00,2011-05-16 19:36:00,346,522,0
CIG0052,692,1,2010-01-04 08:18:00,2011-05-16 17:33:00,346,0,0
CIM0271,997,3,2010-01-04 07:00:00,2011-05-16 17:14:00,346,354,0
CIM0926,460,2,2010-01-04 08:22:00,2010-11-24 19:44:00,229,231,0
CJC0494,692,1,2010-01-04 08:04:00,2011-05-16 17:13:00,346,0,0
CJF0802,1100,2,2010-01-04 08:04:00,2011-05-16 17:25:00,352,110,10
CJG0470,692,1,2010-01-04 07:54:00,2011-05-16 18:01:00,346,384,0
CJH0702,692,1,2010-01-04 07:43:00,2011-05-16 16:42:00,346,346,0
CJK0200,692,1,2010-01-04 07:24:00,2011-05-16 15:22:00,346,346,0
CJM0138,692,1,2010-01-04 08:55:00,2011-05-16 17:58:00,346,212,0
CJM0521,928,1,2010-01-02 08:47:00,2011-05-16 16:52:00,464,0,226
CJP0952,1034,2,2010-01-04 07:00:00,2011-05-16 16:06:00,348,385,3
CJV0286,963,1,2010-01-04 09:04:00,2011-05-16 18:18:00,346,346,0
CKB0427,692,1,2010-01-04 07:57:00,2011-05-16 16:58:00,346,155,0
CKB0482,692,1,2010-01-04 08:03:00,2011-05-16 17:14:00,346,0,0
CKD0680,692,1,2010-01-04 07:47:00,2011-05-16 16:00:00,346,159,0
CKH0144,692,1,2010-01-04 07:02:00,2011-05-16 17:06:00,346,346,0
CKP0721,692,1,2010-01-04 07:44:00,2011-05-16 16:51:00,346,346,0
CLB0774,848,1,2010-01-04 08:17:00,2011-05-16 16:37:00,357,153,17
CLD0894,692,1,2010-01-04 09:05:00,2011-05-16 18:04:00,346,346,0
CLF0852,1196,3,2010-01-04 07:34:00,2011-05-16 17:48:00,346,387,0
CLH0703,692,1,2010-01-04 07:33:00,2011-05-16 16:59:00,346,346,0
CLS0296,692,1,2010-01-04 08:54:00,2011-05-16 18:00:00,346,187,0
CMB0912,1378,46,2010-01-03 07:06:00,2011-05-16 16:12:00,423,488,220
CMM0487,692,1,2010-01-04 08:05:00,2011-05-16 17:08:00,346,0,0
CMS0454,692,1,2010-01-04 07:53:00,2011-05-16 18:05:00,346,353,0
CMW0783,692,1,2010-01-04 08:29:00,2011-05-16 16:28:00,346,0,0
CNB0900,692,1,2010-01-04 09:07:00,2011-05-16 18:12:00,346,346,0
CNE0352,692,1,2010-01-04 07:53:00,2011-05-16 16:55:00,346,174,0
CNM0800,692,1,2010-01-04 08:03:00,2011-05-16 17:08:00,346,0,0
COF0120,596,1,2010-01-04 09:00:00,2011-01-14 21:12:00,266,325,10
COM0321,692,1,2010-01-04 07:42:00,2011-05-16 15:36:00,346,346,0
CPG0322,1006,35,2010-01-04 07:44:00,2011-05-16 15:37:00,346,388,0
CQH0701,963,1,2010-01-04 07:45:00,2011-05-16 16:56:00,346,346,0
CQH0730,692,1,2010-01-04 07:52:00,2011-05-16 16:49:00,346,162,0
CQW0652,654,1,2010-01-04 09:15:00,2011-04-18 21:15:00,327,327,0
CRD0624,100,1,2010-01-04 07:48:00,2010-03-05 16:58:00,45,27,0
CRK0916,997,1,2010-01-04 08:18:00,2011-05-16 19:29:00,351,394,9
CRO0027,1009,3,2010-01-04 09:05:00,2011-05-16 18:19:00,348,362,4
CRP0456,692,1,2010-01-04 07:46:00,2011-05-16 18:09:00,346,369,0
CSB0080,692,1,2010-01-04 07:54:00,2011-05-16 16:52:00,346,160,0
CSC0217,934,289,2010-01-04 02:32:51,2010-06-11 22:27:10,113,706,0
CSH0626,1294,3,2010-01-04 08:00:00,2011-05-16 17:00:00,404,344,142
CSJ0340,692,1,2010-01-04 07:01:00,2011-05-16 18:08:00,346,692,0
CSL0949,692,1,2010-01-04 07:08:00,2011-05-16 16:22:00,346,346,0
CSP0197,1208,2,2010-01-04 08:12:00,2011-05-16 18:15:00,346,353,0
CTA0020,1010,4,2010-01-04 07:49:00,2011-05-16 18:00:00,346,506,0
CTR0341,1604,3,2010-01-02 07:14:00,2011-05-16 18:15:00,491,1192,447
CTR0697,963,1,2010-01-04 07:30:00,2011-05-16 16:43:00,346,354,0
CTW0500,692,1,2010-01-04 08:01:00,2011-05-16 17:10:00,346,0,0
CUD0795,692,1,2010-01-04 08:02:00,2011-05-16 17:13:00,346,0,0
CWB0065,1188,2,2010-01-04 07:10:00,2011-05-16 15:16:00,346,376,0
CWR0502,1122,2,2010-01-04 08:13:00,2011-05-16 17:29:00,346,0,0
CXC0336,692,1,2010-01-04 07:15:00,2011-05-16 18:11:00,346,692,0
CYA0506,210,1,2010-01-04 08:45:00,2010-06-01 17:09:00,105,0,0
DAG0558,692,1,2010-01-04 08:58:00,2011-05-16 17:59:00,346,189,0
DAL0673,993,3,2010-01-04 07:52:00,2011-05-16 16:00:00,346,160,0
DAR0885,116,5,2010-01-02 09:01:00,2010-02-08 04:27:31,38,55,33
DBB0384,692,1,2010-01-04 07:56:00,2011-05-16 16:12:00,346,174,0
DBG0261,692,1,2010-01-04 07:32:00,2011-05-16 16:45:00,346,346,0
DBS0235,748,29,2010-01-04 07:50:00,2011-05-16 19:00:00,346,530,0
DBW0483,691,1,2010-01-04 08:08:00,2011-05-16 17:24:00,346,0,0
DCC0160,692,1,2010-01-04 07:30:00,2011-05-16 18:43:00,346,692,0
DCH0843,588,1,2010-01-04 08:16:00,2011-02-23 19:23:00,290,299,2
DDA0476,692,1,2010-01-04 08:14:00,2011-05-16 17:28:00,346,0,0
DDM0579,692,1,2010-01-04 08:18:00,2011-05-16 18:30:00,346,346,0
DEB0782,692,1,2010-01-04 08:29:00,2011-05-16 16:35:00,346,0,0
DFH0188,1133,3,2010-01-04 07:00:00,2011-05-16 18:11:00,346,773,0
